,State,Account Length,Area Code,Int'l Plan,VMail Plan,VMail Message,Day Mins,Day Calls,Eve Mins,Eve Calls,Night Mins,Night Calls,Intl Mins,Intl Calls,CustServ Calls
779,ND,167,408,yes,no,0,219.1,100,242.9,90,168.9,101,10.1,4,2
780,MS,107,510,yes,no,0,273.5,104,183.8,68,153.8,67,11.0,9,2
781,WV,112,415,yes,no,0,161.9,138,200.9,114,134.0,134,10.7,4,1
782,WI,35,510,no,yes,27,241.7,87,142.0,101,288.9,68,9.4,4,1
783,KS,103,408,yes,no,0,62.8,124,170.4,66,280.2,78,9.4,4,3
784,MO,107,415,no,yes,22,281.1,83,143.7,130,239.4,128,11.2,9,1
785,PA,69,415,no,no,0,228.2,70,263.7,80,142.6,60,10.7,5,3
786,SD,85,408,no,no,0,209.8,82,194.5,94,200.4,85,11.3,3,0
787,NJ,24,408,no,no,0,265.6,86,208.8,102,182.5,105,11.1,6,2
788,AL,90,415,no,no,0,214.9,97,117.8,117,133.7,78,11.8,2,2
789,ME,137,510,no,no,0,110.5,79,223.2,111,169.5,64,10.5,3,3
790,AZ,92,415,yes,yes,45,281.1,88,198.0,103,94.3,76,7.5,3,0
791,VT,38,415,no,no,0,137.8,86,286.3,76,167.0,77,14.1,3,2
792,NV,69,510,yes,yes,33,271.5,98,253.4,102,165.4,85,8.2,2,1
793,WI,45,408,no,no,0,112.8,108,218.8,120,240.2,106,9.0,3,2
794,HI,73,408,no,no,0,187.3,118,239.7,90,167.5,108,15.1,2,1
795,DE,92,415,no,no,0,197.0,84,269.3,105,158.9,105,10.8,4,1
796,AZ,113,415,no,yes,32,180.4,89,129.4,124,166.9,124,8.4,2,1
797,VA,68,408,yes,no,0,148.5,126,219.4,125,198.5,121,14.5,7,1
798,GA,135,415,no,yes,22,197.1,113,259.4,95,134.7,135,14.6,5,2
799,AZ,100,415,no,yes,26,153.7,115,137.8,146,213.5,104,15.9,5,1
800,MN,96,415,no,yes,27,261.3,96,220.9,101,179.4,97,11.3,2,1
801,ME,108,510,no,no,0,246.2,102,202.4,134,180.1,95,9.4,5,1
802,FL,84,510,no,no,0,191.0,88,318.8,119,247.3,79,6.5,4,0
803,WA,134,408,no,no,0,208.3,86,253.6,89,291.0,86,12.6,3,1
804,MT,72,415,no,no,0,253.0,73,219.3,78,210.8,89,9.8,4,0
805,AL,83,408,no,no,0,202.3,87,201.5,111,101.7,82,6.8,4,0
806,WV,137,408,no,no,0,174.4,120,156.3,98,136.5,121,10.2,5,0
807,GA,56,415,no,yes,30,127.1,89,172.1,116,194.6,111,12.1,3,1
808,OH,61,510,yes,yes,16,143.5,76,242.6,58,147.7,95,11.3,3,0
809,DE,171,510,no,yes,17,186.9,94,240.0,138,200.9,64,5.8,3,1
810,NE,123,510,no,no,0,194.0,118,242.0,114,146.3,108,12.1,4,1
811,FL,58,510,no,no,0,234.8,89,106.8,131,178.5,122,9.9,6,0
812,AK,156,510,no,no,0,123.7,96,103.0,80,189.4,82,13.1,4,1
813,WI,166,510,no,no,0,173.9,103,276.4,83,190.8,113,15.3,5,0
814,WA,75,510,no,yes,41,130.9,115,203.4,110,171.7,68,12.4,4,1
815,KY,75,415,no,no,0,314.6,102,169.8,86,285.1,100,5.7,3,2
816,OH,83,510,no,no,0,227.9,78,207.5,115,211.7,100,12.1,5,1
817,UT,243,510,no,no,0,95.5,92,163.7,63,264.2,118,6.6,6,2
818,NM,153,408,no,no,0,185.3,127,208.0,73,206.1,124,15.1,3,1
819,MN,150,415,no,no,0,146.3,133,202.7,95,234.7,103,13.1,3,1
820,WV,92,510,no,yes,16,184.0,99,76.4,134,185.1,96,12.7,3,2
821,MN,80,415,no,no,0,105.8,110,43.9,88,189.6,87,13.1,5,0
822,AL,134,415,no,no,0,178.0,110,153.8,64,236.6,105,11.7,4,1
823,PA,77,510,no,yes,24,149.4,74,123.9,72,174.3,84,10.1,6,1
824,DE,147,510,no,no,0,209.4,104,132.5,78,149.4,123,11.3,3,2
825,MO,74,415,no,no,0,172.1,105,211.7,99,182.2,105,11.6,6,1
826,IL,138,510,yes,no,0,169.3,82,217.9,147,184.2,77,9.4,9,1
827,FL,143,415,no,no,0,119.1,117,287.7,136,223.0,100,12.2,4,0
828,HI,64,415,no,no,0,194.2,147,173.4,87,268.7,114,5.5,2,2
829,ME,120,510,no,no,0,198.8,56,230.1,73,119.8,81,9.9,3,2
830,CO,121,408,yes,no,0,167.7,94,93.7,121,241.3,115,13.4,1,3
831,NH,88,415,no,no,0,202.2,86,216.8,93,239.4,99,11.8,2,2
832,SC,87,408,no,no,0,322.5,106,204.6,93,186.2,128,9.4,4,2
833,IN,100,510,no,no,0,216.2,107,215.6,84,138.4,127,10.2,3,0
834,FL,104,415,no,no,0,76.4,116,115.6,74,226.3,94,9.4,3,3
835,GA,27,510,no,no,0,72.7,75,208.6,117,65.8,71,9.9,3,1
836,IL,81,415,no,yes,31,210.4,100,225.5,97,168.7,120,9.7,4,0
837,NC,64,510,yes,yes,33,127.2,93,162.9,104,247.4,109,8.1,13,0
838,VT,107,510,no,yes,28,201.8,79,304.9,128,225.6,133,11.9,8,1
839,DC,88,415,no,yes,17,219.5,78,222.1,94,188.3,92,16.1,5,1
840,VT,111,408,no,no,0,99.3,112,270.5,136,225.3,94,9.0,6,3
841,NV,77,415,no,no,0,239.2,114,150.0,115,160.8,81,10.3,2,5
842,OR,67,415,yes,no,0,120.9,58,235.0,88,95.1,130,11.4,11,2
843,AL,102,408,no,no,0,224.7,81,129.4,112,167.6,109,15.8,6,1
844,ND,146,408,no,yes,19,176.6,88,162.7,66,215.5,98,14.6,6,1
845,FL,144,415,no,yes,51,283.9,98,192.0,109,196.3,85,10.0,4,1
846,NE,96,415,no,no,0,180.6,92,190.9,114,295.6,125,10.3,4,1
847,ND,70,415,no,yes,31,125.9,101,196.4,102,252.7,75,10.3,4,1
848,ME,149,408,no,no,0,237.6,79,192.4,107,207.4,111,9.1,9,0
849,IL,129,415,no,no,0,198.4,91,264.7,106,111.4,101,9.2,2,2
850,WA,166,408,no,no,0,274.3,110,52.9,109,246.1,119,10.9,5,0
851,MA,136,408,yes,no,0,199.6,89,211.4,96,72.4,84,11.0,4,3
852,KS,149,510,no,no,0,217.7,91,273.5,74,226.9,99,9.6,3,3
853,RI,70,415,no,no,0,134.7,96,235.9,90,260.2,113,7.6,6,3
854,MO,120,415,no,yes,24,212.7,73,257.5,103,227.8,119,9.7,13,2
855,IA,66,510,no,no,0,256.3,135,180.2,106,187.3,135,6.2,7,2
856,WY,104,408,no,no,0,183.6,133,120.7,98,215.1,112,12.7,2,1
857,NV,160,415,no,no,0,176.2,90,196.0,115,263.9,95,9.2,4,1
858,WI,129,415,no,yes,37,205.0,94,165.4,103,185.0,81,11.7,8,1
859,AL,93,408,no,no,0,267.9,114,223.0,74,262.7,90,11.3,3,3
860,HI,169,415,no,no,0,179.2,111,175.2,130,228.6,92,9.9,6,2
861,MO,58,415,no,no,0,149.4,145,196.5,105,209.5,108,14.9,3,1
862,CA,75,510,no,yes,38,163.6,132,146.7,113,345.8,115,13.1,3,3
863,MO,45,408,no,no,0,207.6,71,152.7,94,217.8,125,12.4,13,1
864,CT,155,510,no,no,0,165.4,108,183.7,103,80.2,108,8.9,4,3
865,MD,52,415,no,no,0,209.8,114,171.3,82,154.6,119,9.9,9,4
866,OH,119,415,no,yes,27,220.1,128,268.2,133,146.5,80,11.1,3,0
867,NV,86,510,no,no,0,141.3,72,154.3,95,210.6,91,8.2,5,1
868,MD,42,408,no,no,0,196.5,89,241.3,123,143.2,105,4.0,7,0
869,NE,127,510,yes,no,0,180.9,114,209.5,118,249.9,105,7.4,4,2
870,OH,123,408,no,no,0,105.0,150,251.6,90,258.0,93,14.9,5,0
871,MA,98,510,no,no,0,271.4,119,190.4,102,284.7,118,11.1,6,4
872,OK,149,510,no,yes,43,206.7,79,174.6,122,241.5,80,10.9,3,1
873,MA,160,408,no,no,0,166.8,109,236.0,117,307.6,77,9.3,1,1
874,WA,103,415,no,no,0,204.9,107,135.2,102,208.2,106,10.4,3,5
875,HI,132,415,no,yes,15,154.6,128,245.6,106,148.6,90,9.1,4,1
876,CO,137,415,no,no,0,127.0,107,323.2,75,143.9,127,7.5,2,1
877,FL,129,415,yes,no,0,267.4,78,204.2,85,111.7,146,5.9,4,1
878,WI,62,415,no,no,0,281.0,66,160.6,108,77.9,74,0.0,0,1
879,ID,122,510,no,yes,33,270.8,96,220.4,110,169.9,104,11.8,8,4
880,WY,32,408,no,no,0,171.2,82,185.6,102,203.3,64,10.2,7,1
881,GA,86,510,no,no,0,124.1,82,202.6,120,289.6,119,6.7,8,3
882,FL,130,415,no,no,0,162.8,113,290.3,111,114.9,140,7.2,3,1
883,WY,42,408,no,no,0,146.3,84,255.9,113,45.0,117,8.0,12,1
884,DE,73,415,no,no,0,254.8,85,143.4,80,153.9,102,15.0,7,2
885,ME,66,408,no,yes,26,254.9,108,243.2,135,190.8,95,5.4,3,2
886,DC,103,510,no,yes,31,107.7,124,188.9,104,196.2,98,8.9,3,0
887,IA,128,408,no,no,0,158.8,75,264.8,91,270.0,77,7.6,7,1
888,CO,104,415,no,no,0,182.9,113,239.6,85,229.8,104,5.5,4,2
889,MN,103,415,no,no,0,198.5,112,42.5,90,179.2,124,12.4,5,0
890,VT,124,415,no,no,0,178.4,72,233.6,134,179.4,91,12.0,2,0
891,AZ,87,510,no,no,0,110.9,91,158.5,115,207.5,131,6.2,5,1
892,LA,109,415,no,yes,27,166.9,85,221.2,92,197.3,97,12.3,4,1
893,MO,167,415,yes,no,0,244.8,91,60.8,105,176.7,110,10.7,3,2
894,ME,97,510,no,no,0,120.8,96,169.8,101,194.1,63,11.9,3,4
895,MD,106,415,no,no,0,165.3,118,210.0,101,187.2,93,8.5,3,2
896,VT,125,415,no,no,0,126.7,113,155.5,131,206.2,112,14.4,7,2
897,DC,108,408,no,yes,35,215.9,106,200.6,107,195.4,107,15.5,7,0
898,WY,125,415,no,no,0,140.1,132,209.6,126,264.1,77,8.0,2,1
899,VA,89,415,no,yes,32,209.9,113,249.8,104,224.2,92,8.7,7,1
900,VA,72,510,yes,yes,29,139.8,114,138.2,91,221.0,88,5.5,6,0
901,CT,23,510,no,no,0,321.6,107,251.6,115,141.1,158,11.3,3,2
902,HI,149,510,no,no,0,166.6,61,218.8,107,208.3,131,8.2,6,7
903,WI,73,415,no,no,0,214.2,90,196.8,78,157.9,112,5.9,8,0
904,MD,61,415,no,no,0,260.0,123,210.5,127,234.7,70,9.0,3,1
905,WV,161,415,no,no,0,191.9,113,70.9,87,204.8,107,13.4,4,4
906,VT,73,408,no,no,0,213.0,95,188.8,104,136.2,89,13.5,3,0
907,UT,118,415,no,yes,24,118.1,83,109.6,72,245.5,73,16.9,2,1
908,CO,23,408,no,no,0,190.2,89,166.4,108,219.8,73,15.0,4,6
909,NC,127,415,no,yes,25,82.2,95,163.3,109,264.9,104,5.1,6,0
910,NJ,42,415,no,yes,32,163.8,80,177.8,123,190.4,106,8.1,5,0
911,AR,118,415,no,no,0,267.8,145,316.4,121,208.6,91,14.4,11,5
912,IA,45,510,no,no,0,159.8,91,120.4,86,163.0,93,10.6,3,2
913,GA,50,408,no,yes,24,214.3,129,289.8,55,312.5,130,10.6,4,1
914,MO,179,510,no,no,0,287.3,123,288.0,114,266.0,112,10.5,4,0
915,MO,152,408,no,no,0,101.2,122,141.6,87,198.5,124,7.5,3,2
916,WY,105,415,no,no,0,102.8,74,281.7,125,228.1,113,13.2,5,2
917,HI,72,415,no,no,0,109.1,97,115.7,96,295.8,84,8.3,6,0
918,PA,52,408,no,no,0,215.9,67,217.0,108,342.8,130,5.2,2,1
919,TX,125,415,no,no,0,203.4,110,128.7,97,190.5,113,11.0,4,1
920,VA,143,510,no,no,0,110.1,113,169.0,59,166.7,94,9.2,2,1
921,RI,65,415,no,no,0,111.0,51,219.8,84,202.0,89,4.4,14,1
922,WI,80,415,no,no,0,239.9,121,142.3,51,364.3,106,9.3,5,1
923,MS,1,415,no,no,0,144.8,107,112.5,66,218.7,79,13.8,3,1
924,KY,60,408,no,no,0,135.4,134,205.9,85,204.0,103,7.9,4,1
925,NC,43,415,no,no,0,84.2,134,80.8,103,196.1,79,10.8,2,1
926,NV,143,415,no,no,0,209.1,127,106.1,80,179.6,90,14.0,6,0
927,UT,81,415,no,yes,24,130.1,117,196.0,61,139.3,123,11.4,5,0
928,ME,205,510,no,yes,24,175.8,139,155.0,98,180.7,64,7.8,5,2
929,HI,24,415,no,no,0,241.9,104,145.2,112,214.5,105,6.6,5,1
930,OH,74,415,no,no,0,136.7,106,228.6,105,265.3,114,9.8,4,0
931,WV,77,510,no,no,0,67.7,68,195.7,86,236.5,137,12.0,2,1
932,OK,74,415,no,no,0,200.4,87,309.2,105,152.1,118,10.0,2,1
933,KY,74,510,yes,no,0,125.8,103,207.7,96,207.4,143,14.1,4,1
934,AL,200,408,no,no,0,128.2,87,133.2,105,177.6,123,11.2,2,1
935,MD,86,408,no,no,0,226.3,88,223.0,107,255.6,92,13.0,3,4
936,NE,91,510,no,yes,37,162.3,107,233.9,115,277.4,94,9.2,4,0
937,DC,76,415,no,no,0,224.4,121,147.9,97,183.8,74,6.7,2,2
938,TX,130,415,no,no,0,120.5,127,189.7,52,270.1,107,14.3,2,1
939,OH,56,408,no,no,0,91.1,90,179.3,115,300.7,89,11.9,8,2
940,DE,117,415,no,no,0,168.8,137,241.4,107,204.8,106,15.5,4,0
941,IA,63,510,no,no,0,153.5,81,287.3,115,230.2,85,6.5,5,2
942,VT,126,415,no,no,0,226.2,88,140.3,114,208.9,110,6.4,2,0
943,OR,132,510,no,no,0,191.9,107,206.9,127,272.0,88,12.6,2,1
944,NV,81,415,no,yes,28,167.9,147,190.7,105,193.0,103,9.2,6,4
945,NC,122,415,no,no,0,180.0,88,145.0,77,233.7,120,11.5,6,2
946,NJ,46,408,no,no,0,257.4,67,261.1,91,204.4,107,13.4,5,2
947,MN,150,415,no,yes,28,174.4,75,169.9,80,201.6,130,11.0,4,1
948,ID,99,408,no,no,0,159.7,83,155.4,121,255.7,114,8.4,3,1
949,AL,87,408,no,no,0,237.2,124,222.6,87,173.3,81,11.0,3,1
950,AK,108,415,no,no,0,103.0,129,242.3,103,170.2,89,7.9,3,1
951,VT,101,415,no,no,0,153.8,89,234.0,89,196.3,77,11.6,2,4
952,PA,53,415,no,no,0,205.1,86,160.5,95,149.5,142,10.7,2,3
953,AK,132,415,no,yes,39,175.7,93,187.2,94,225.5,118,8.6,3,2
954,CA,158,510,no,no,0,155.9,123,224.2,112,221.0,116,8.6,8,2
955,MS,114,415,no,yes,34,154.4,109,221.4,142,208.5,103,10.3,5,0
956,AR,77,415,no,yes,23,209.7,73,183.6,63,205.5,111,7.1,3,2
957,NV,144,415,yes,no,0,150.0,69,285.9,73,190.6,121,9.4,15,0
958,AL,91,510,no,yes,23,232.4,97,186.0,88,190.5,128,12.3,3,3
959,GA,58,408,no,no,0,165.4,100,115.7,87,193.8,118,12.8,5,2
960,AR,5,415,no,no,0,199.2,106,187.3,12,214.0,85,13.3,3,3
961,MA,97,408,no,no,0,217.6,81,320.5,51,150.7,110,4.2,3,0
962,NJ,107,415,no,no,0,212.1,95,150.1,88,219.8,111,7.7,2,3
963,MO,142,415,no,yes,30,154.0,75,165.8,97,270.0,83,10.8,5,1
964,NY,9,408,no,yes,31,193.8,130,202.6,98,191.2,102,13.3,2,1
965,AZ,73,415,no,no,0,175.4,130,248.1,105,122.4,85,12.2,4,0
966,NJ,48,510,no,yes,22,152.0,63,258.8,131,263.2,109,15.7,5,2
967,WV,43,408,no,no,0,230.2,147,186.7,121,128.4,100,9.2,3,0
968,NM,122,408,no,yes,33,174.9,103,248.2,105,164.6,116,13.5,3,1
969,SC,93,415,no,no,0,190.2,68,262.2,64,130.0,92,8.8,4,0
970,VT,85,415,no,no,0,176.4,122,224.9,123,219.6,50,11.5,1,1
971,TN,59,415,no,no,0,160.9,95,251.2,65,273.4,97,5.0,5,3
972,LA,87,415,no,no,0,228.7,90,163.0,99,154.1,90,11.8,3,1
973,OH,137,408,no,no,0,144.0,90,181.6,100,128.1,93,12.3,2,0
974,OR,21,510,no,yes,31,135.9,90,271.0,84,179.1,89,9.5,7,6
975,DE,129,510,no,no,0,334.3,118,192.1,104,191.0,83,10.4,6,0
976,KY,104,415,no,no,0,130.5,77,131.2,117,264.7,63,13.0,6,0
977,GA,93,408,no,yes,21,134.2,105,162.5,128,186.6,90,11.8,2,4
978,VT,63,415,no,no,0,278.0,102,266.4,114,224.1,118,13.1,4,4
979,OR,161,415,no,no,0,105.4,70,214.8,122,223.6,126,7.8,5,0
980,TX,50,510,no,no,0,188.9,94,203.9,104,151.8,124,11.6,8,3
981,MO,103,408,no,yes,24,111.8,85,239.6,102,268.3,81,6.9,4,1
982,ND,84,415,no,yes,33,159.1,106,149.8,101,213.4,108,13.0,18,1
983,MN,92,510,no,no,0,212.4,105,224.6,118,221.3,105,9.0,4,1
984,NV,77,415,no,no,0,142.3,112,306.3,111,196.5,82,9.9,1,1
985,NY,64,415,yes,no,0,346.8,55,249.5,79,275.4,102,13.3,9,1
986,FL,159,415,no,yes,15,113.9,102,145.3,146,195.2,137,11.8,9,1
987,KS,110,415,yes,yes,27,267.9,103,263.3,74,178.1,106,8.3,2,1
988,NV,138,510,no,no,0,171.4,117,115.2,128,224.5,115,17.0,4,3
989,NV,178,408,no,no,0,275.4,150,187.5,62,147.1,126,13.6,3,1
990,SC,38,415,no,yes,31,197.2,118,249.9,70,298.9,104,3.9,2,0
991,MI,50,415,no,yes,35,192.6,97,135.2,101,216.2,101,7.9,2,2
992,MI,45,510,no,yes,26,91.7,104,150.6,119,63.3,103,7.7,5,1
993,TN,70,510,no,no,0,126.3,99,141.6,106,255.9,96,9.6,2,0
994,NY,147,510,no,yes,33,251.5,107,234.1,110,213.4,87,10.4,6,3
995,NV,94,510,no,no,0,190.6,108,152.3,95,144.7,97,7.5,5,1
996,IL,179,510,no,no,0,116.1,101,201.8,99,181.9,103,11.6,5,0
997,MS,116,415,no,no,0,217.3,91,216.1,95,148.1,76,11.3,3,2
998,ND,59,510,no,no,0,179.4,80,232.5,99,175.8,105,14.7,3,0
999,NC,165,415,no,no,0,207.7,109,164.8,94,54.5,91,7.9,3,0
1000,MI,133,408,no,no,0,277.3,138,228.4,117,117.3,103,12.8,4,2
1001,TN,140,415,no,no,0,125.3,84,167.6,121,260.6,94,8.4,4,1
1002,VT,93,408,no,yes,32,138.1,91,167.3,72,238.9,115,6.8,3,2
1003,OK,52,510,no,yes,38,169.3,88,225.9,97,172.0,86,8.2,3,0
1004,DE,64,415,no,yes,27,201.3,101,143.8,89,150.2,127,12.3,3,1
1005,ND,12,510,yes,no,0,216.7,117,116.5,126,220.0,110,9.8,4,2
1006,OR,48,415,no,no,0,190.4,92,317.5,85,133.4,113,8.3,4,2
1007,NY,181,408,no,no,0,143.3,91,195.5,58,223.3,95,6.0,7,1
1008,MO,168,415,no,yes,42,97.4,57,203.6,98,173.9,124,11.4,2,2
1009,FL,155,415,no,no,0,181.4,111,167.7,92,168.5,122,11.3,3,3
1010,ND,105,510,no,no,0,246.4,83,256.2,101,169.0,151,3.8,4,0
1011,NY,11,415,no,no,0,143.4,130,289.4,50,194.0,100,9.7,6,2
1012,ND,182,415,no,no,0,104.9,111,198.5,120,258.2,91,8.0,5,2
1013,NY,104,415,no,no,0,156.2,93,193.0,54,222.7,94,13.1,5,1
1014,OH,102,415,no,no,0,114.8,125,81.9,126,304.3,101,12.0,4,0
1015,AL,122,415,no,no,0,232.5,96,205.5,120,213.7,91,11.9,2,0
1016,SC,41,415,no,no,0,143.6,117,152.4,108,194.4,110,8.6,3,1
1017,GA,132,415,no,no,0,176.7,132,244.1,80,176.3,120,9.1,4,2
1018,WY,76,415,no,no,0,263.4,148,230.3,69,170.6,101,11.4,5,1
1019,WV,13,415,no,no,0,146.4,74,148.5,92,216.7,96,11.3,3,1
1020,HI,115,415,no,yes,33,145.0,72,194.5,157,242.3,138,14.2,3,2
1021,WV,67,408,no,no,0,167.8,91,167.7,69,110.3,71,8.4,12,1
1022,LA,154,510,no,no,0,166.9,99,154.9,97,189.4,89,7.2,5,0
1023,AR,100,510,no,no,0,142.5,87,195.7,88,122.1,117,7.8,8,2
1024,AK,146,510,yes,no,0,133.0,65,262.8,93,214.3,128,11.2,3,1
1025,DC,148,415,no,yes,11,252.9,129,284.3,88,262.8,99,12.3,1,1
1026,AL,67,415,no,yes,28,95.0,94,291.2,73,159.6,114,10.0,2,2
1027,UT,161,510,yes,no,0,194.2,106,249.4,105,254.9,129,12.9,1,1
1028,KS,70,415,no,no,0,222.8,114,215.9,113,223.5,122,0.0,0,1
1029,MN,116,510,no,no,0,201.8,82,231.5,95,226.1,130,16.5,5,0
1030,VA,99,415,no,yes,42,216.0,125,232.3,104,215.5,100,9.3,4,2
1031,UT,87,415,no,no,0,146.3,108,171.8,102,167.5,66,5.3,9,1
1032,IN,87,510,no,no,0,234.8,85,140.9,91,204.3,93,9.5,5,1
1033,CT,70,408,no,no,0,198.6,111,213.9,115,171.2,105,10.6,6,2
1034,DE,131,408,no,no,0,94.4,80,215.1,101,179.7,108,13.1,9,2
1035,VT,119,510,no,no,0,190.4,74,215.6,113,161.2,111,10.0,1,2
1036,MO,119,408,no,yes,32,142.6,77,208.2,126,171.0,102,12.0,2,3
1037,RI,87,510,yes,no,0,134.2,80,165.0,71,173.1,102,10.7,5,0
1038,CA,112,415,no,no,0,111.9,92,114.0,143,146.8,79,14.1,3,5
1039,RI,75,415,no,no,0,122.8,89,211.3,104,261.4,91,10.7,2,2
1040,CT,150,510,no,no,0,189.3,77,220.9,105,238.7,117,9.2,5,4
1041,IN,161,510,no,yes,38,240.4,112,201.8,102,206.1,112,16.1,6,0
1042,FL,91,510,yes,yes,24,93.5,112,183.4,128,240.7,133,9.9,3,0
1043,KS,124,415,no,no,0,158.6,104,211.2,77,179.3,104,10.2,8,3
1044,NY,94,510,yes,no,0,243.2,109,147.0,88,94.9,99,7.2,4,4
1045,TX,217,408,no,no,0,176.4,115,158.8,128,306.6,107,9.3,3,4
1046,RI,158,510,no,no,0,220.9,129,242.2,108,233.3,75,6.4,5,0
1047,NV,102,415,no,no,0,144.4,87,266.5,128,217.6,59,7.1,7,0
1048,UT,85,510,no,no,0,212.3,107,228.4,103,163.3,116,7.7,3,0
1049,OK,79,510,no,no,0,147.0,72,165.7,102,243.2,107,8.4,9,1
1050,MN,139,510,no,yes,25,96.2,112,178.9,70,182.1,84,12.9,10,2
1051,NC,103,415,no,no,0,263.4,118,179.1,69,214.7,112,10.3,2,0
1052,OR,98,415,yes,no,0,12.5,67,256.6,90,169.4,88,7.7,9,1
1053,NH,78,408,no,no,0,162.3,116,192.4,86,240.6,100,10.1,3,2
1054,AK,50,408,no,no,0,183.6,107,58.6,118,202.6,99,8.7,3,1
1055,OR,161,415,no,no,0,178.1,109,146.5,86,137.6,78,8.5,2,1
1056,KS,67,408,no,no,0,201.4,101,97.6,122,202.5,119,7.0,3,0
1057,WV,86,415,no,yes,38,123.0,158,133.9,119,138.2,103,13.3,4,1
1058,GA,92,510,no,no,0,208.0,125,198.9,76,76.4,97,8.6,6,0
1059,NM,174,415,no,no,0,239.2,72,188.5,124,105.6,116,8.8,3,1
1060,OH,124,510,no,no,0,193.0,97,89.8,99,172.8,104,15.3,3,1
1061,ND,132,415,no,yes,31,174.5,101,245.6,105,172.8,76,10.3,9,1
1062,RI,190,415,no,yes,26,116.7,71,145.9,88,175.1,103,9.9,3,1
1063,HI,101,510,no,no,0,93.8,127,150.0,104,241.1,116,10.7,2,1
1064,WY,185,415,yes,yes,30,154.1,114,118.7,106,258.4,105,12.9,3,2
1065,NY,68,415,no,yes,29,239.5,82,203.8,105,167.8,70,9.9,6,0
1066,KS,117,510,no,yes,25,216.0,140,224.1,69,267.9,112,11.8,4,0
1067,LA,118,408,no,no,0,187.4,97,177.8,89,233.4,97,12.2,6,1
1068,PA,124,415,no,no,0,167.4,119,233.2,143,109.6,115,10.3,5,0
1069,NV,22,510,no,no,0,160.4,108,218.1,88,192.9,115,12.5,4,1
1070,MN,75,415,no,no,0,143.2,92,209.1,142,173.0,96,11.9,9,1
1071,PA,134,408,no,no,0,205.3,122,240.5,155,179.1,107,5.0,9,1
1072,MO,164,408,no,yes,25,219.1,88,151.5,99,50.1,60,14.3,6,1
1073,NY,44,510,no,no,0,143.2,77,169.8,114,215.8,77,7.6,4,1
1074,ME,177,415,no,no,0,232.8,106,175.2,97,212.2,77,12.5,7,2
1075,NH,110,408,no,no,0,162.0,81,247.5,89,155.5,99,8.9,8,0
1076,WY,53,415,no,yes,27,25.9,119,206.5,96,228.1,64,6.5,7,1
1077,NY,108,415,no,no,0,154.2,123,112.3,86,246.4,75,15.4,4,4
1078,ME,80,408,no,no,0,322.3,113,222.0,95,162.8,123,6.7,8,0
1079,MN,158,408,no,no,0,209.9,112,221.3,82,210.0,93,8.2,3,1
1080,OH,114,415,no,no,0,191.5,88,175.2,78,220.3,118,0.0,0,0
1081,NC,64,408,no,yes,19,291.1,150,226.7,123,219.1,67,7.5,2,1
1082,SD,88,415,no,no,0,215.6,115,216.2,85,171.3,65,11.8,1,3
1083,UT,82,510,yes,no,0,208.8,101,213.7,87,175.1,86,12.4,6,3
1084,KY,111,415,no,no,0,255.9,97,204.1,129,171.3,84,12.3,5,3
1085,MT,60,408,no,no,0,252.7,97,221.1,121,109.9,100,12.4,4,2
1086,NJ,113,408,no,no,0,132.1,72,247.5,107,246.2,123,6.9,6,3
1087,FL,109,408,no,no,0,217.0,115,207.0,142,268.0,106,8.2,4,1
1088,IN,105,510,no,yes,42,101.9,79,223.1,97,241.6,77,12.9,2,0
1089,DE,85,510,no,no,0,211.5,100,184.6,88,164.3,131,13.3,4,2
1090,AL,131,510,no,no,0,153.4,86,198.5,81,164.4,83,10.4,3,0
1091,ME,59,510,no,no,0,166.3,95,239.3,87,123.2,108,10.0,3,2
1092,SD,148,408,no,no,0,185.2,87,170.4,96,165.1,104,9.5,13,1
1093,VA,210,408,no,no,0,104.6,121,149.5,71,255.1,67,6.5,8,2
1094,AK,115,415,no,no,0,245.2,105,159.0,109,229.9,74,7.2,8,0
1095,ID,106,510,no,no,0,274.4,120,198.6,82,160.8,62,6.0,3,1
1096,RI,93,415,no,no,0,98.4,78,249.6,129,248.2,114,14.2,4,1
1097,KY,57,415,no,yes,29,279.9,121,223.1,109,251.7,94,13.0,2,1
1098,ND,98,510,no,no,0,187.2,127,195.6,88,181.8,129,5.1,4,1
1099,HI,157,415,no,no,0,276.2,95,165.8,119,151.6,79,2.2,4,3
1100,WI,116,415,no,yes,35,200.4,104,272.8,89,214.5,100,8.3,4,1
1101,WV,30,510,no,no,0,162.3,96,244.0,122,180.1,89,9.1,4,2
1102,NJ,111,510,no,no,0,176.9,128,102.8,56,213.7,84,10.5,2,4
1103,KS,52,415,no,no,0,165.5,78,205.5,89,213.6,124,12.2,6,0
1104,AL,72,415,no,no,0,217.8,93,189.7,113,182.6,91,10.4,5,4
1105,NJ,135,510,no,yes,28,201.4,100,246.5,117,154.8,131,12.9,4,2
1106,NC,86,510,no,no,0,190.5,115,179.6,130,258.5,89,10.1,5,3
1107,DE,98,415,no,yes,29,179.9,97,189.2,89,164.3,76,12.8,7,3
1108,WY,151,510,no,no,0,235.9,104,80.6,91,212.8,116,5.8,2,3
1109,ID,118,415,no,no,0,140.4,112,187.1,60,207.9,155,7.9,1,0
1110,NY,117,415,no,no,0,144.6,115,258.8,66,253.2,113,7.4,9,2
1111,MO,55,510,no,no,0,189.0,100,118.5,99,248.1,87,17.1,6,0
